"시도명","시군구명","운영방식","업체명","지원기준"
"경기","수원시","위탁","일신케어","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원(중위소득100%이하)"
"경기","수원시","위탁","자립원","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원(중위소득100%이하)"
"경기","수원시","위탁","천수기업","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원(중위소득100%이하)"
"경기","수원시","위탁","케어존","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원(중위소득100%이하)"
"경기","수원시","위탁","힐링그룹","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원(중위소득100%이하)"
"경기","시흥시","위탁","시흥시장애인보장구수리센터","○ 수급자, 차상위 : 25만원"
"경기","안산시","위탁","안산시장애인이동기기수리센터","○ 수급자, 차상위 : 30만원 / ○ 건강보험 : 15만원"
"경기","안성시","위탁","경기도장애인협회 안성시지회","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","안양시","위탁","온누리부흥센터","○ 수급자, 차상위 : 40만원 / 10% 자부담 / ○ 건강보험 : 40만원 / 20% 자부담"
"경기","안양시","위탁","밀알보장구수리센터","○ 수급자, 차상위 : 40만원 / 10% 자부담 / ○ 건강보험 : 40만원 / 20% 자부담"
"경기","양주시","위탁","세움재활보장구센터","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","양주시","위탁","디딤돌장애인자립생활센터","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","양평군","위탁","경기도지체장애인협회 양평군지회","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","여주시","위탁","경기도지체장애인협회 여주시지회","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","여주시","위탁","경기도장애인협회 여주시지회","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","여주시","위탁","한솔의료기","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","연천군","위탁","연천장애인자립생활센터","○ 수급자 : 20만원 / ○ 차상위 : 10만원"
"경기","오산시","위탁","오산시보조기기수리센터","○ 수급자, 차상위 : 25만원 / ○ 건강보험 : 15만원"
"경기","용인시","위탁","경기도지체장애인협회 용인시지회","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","용인시","위탁","용인시보장구수리센터","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","용인시","위탁","용인종로의료기","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","의왕시","위탁","경기도지체장애인협회 의왕시지회","○ 수급자, 차상위 : 자부담 / ○ 건강보험 : 자부담"
"경기","의정부시","위탁","세움재활보장구센터","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원(수리 시 자부담 50%)"
"경기","의정부시","위탁","케어메디칼","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원(수리 시 자부담 50%)"
"경기","의정부시","위탁","케어플러스","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원(수리 시 자부담 50%)"
"경기","이천시","위탁","경기도지체장애인협회 이천시지회","○ 수급자, 차상위 : 30만원 / ○ 건강보험 : 20만원"
"경기","이천시","위탁","가촌사회적협동조합","○ 수급자, 차상위 : 30만원 / ○ 건강보험 : 20만원"
"경기","파주시","위탁","경기도지체장애인협회 파주시지회","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","평택시","직접수행","- 시 지정 기관 및 업체 없음 - 대상자 업체 지정하여 수리 진행","○ 수급자 : 30만원 / ○ 차상위 : 25만원"
"경기","포천시","위탁","포천시장애인자립생활센터","○ 수급자, 차상위 : 15만원 / ○ 건강보험 : 15만원"
"경기","하남시","위탁","경기도지체장애인협회 하남시지회","○ 수급자, 차상위 : 50만원 / ○ 건강보험 : 30만원"
"경기","하남시","직접수행","- 시 지정 기관 및 업체 없음 - 대상자 업체 지정하여 수리 진행","○ 수급자, 차상위 : 30만원 / ○ 건강보험 : 30만원(중위소득 80%이하)"
"충북","제천시","위탁","충북지체장애인협회 제천지회 보장구수리센터","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원"
"충북","보은군","위탁","케어메디칼","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원"
"충북","옥천군","지정","행복한 세상","○ 수급자, 차상위: 30만원 / ○ 일반 : 20만원"
"충남","천안시","공모","조은의료기","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","천안시","공모","희망메디칼","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","공주시","위탁","충남장애인보장구센터","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","보령시","공모","동부케어","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","아산시","공모","태양의료기","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
